company_name  company_num company_pct
EQUIFAX, INC.	2163	6.77
EXPERIAN DELAWARE GP	1834	5.74
TRANSUNION INTERMEDIATE HOLDINGS, INC.	1685	5.27
BANK OF AMERICA, NATIONAL ASSOCIATION	1390	4.35
WELLS FARGO BANK, NATIONAL ASSOCIATION	1382	4.33
Navient Solutions, LLC.	1347	4.22
CITIBANK, N.A.	1304	4.08
JPMORGAN CHASE & CO.	1250	3.91
CAPITAL ONE FINANCIAL CORPORATION	729	2.28
OCWEN LOAN SERVICING LLC	612	1.92
NATIONSTAR MORTGAGE	565	1.77
SYNCHRONY BANK	524	1.64
AMERICAN EXPRESS CENTURION BANK	420	1.31
Ditech Financial LLC	418	1.31
U.S. BANCORP	391	1.22
PORTFOLIO RECOVERY ASSOCIATES INC	363	1.14
ENCORE CAPITAL GROUP INC.	334	1.05
AES/PHEAA	303	0.95
PAYPAL HOLDINGS INC.	275	0.86
DISCOVER BANK	270	0.85

Updated 5/25/17
